Pais,SuicideClass,MortalityClass,HomicideClass,GobExpenditureClass,AlcoholConsumptionClass
Togo,Alto,Alto,Medio,Medio,Bajo
Tonga,Bajo,Medio,Bajo,Alto,Alto
Trinidad and Tobago,Medio,Medio,Alto,Medio,Medio
Tunisia,Bajo,Medio,Bajo,Alto,Alto
Turkey,Bajo,Bajo,Bajo,Medio,Medio
Turkmenistan,Bajo,Alto,Bajo,Medio,Medio
Uganda,Medio,Alto,Alto,Medio,Medio
Ukraine,Alto,Bajo,Medio,Medio,Medio
United Arab Emirates (the),Bajo,Bajo,Bajo,Medio,Medio
United Kingdom of Great Britain and Northern Ireland (the),Bajo,Bajo,Bajo,Alto,Alto
United Republic of Tanzania (the),Medio,Alto,Medio,Medio,Alto
United States of America (the),Alto,Bajo,Bajo,Alto,Alto
Uruguay,Alto,Bajo,Medio,Alto,Alto
Uzbekistan,Medio,Medio,Bajo,Medio,Medio
Vanuatu,Alto,Medio,Bajo,Alto,Alto
Venezuela (Bolivarian Republic of),Bajo,Medio,Alto,Bajo,Bajo
Viet Nam,Bajo,Medio,Bajo,Alto,Alto
Yemen,Bajo,Alto,Medio,Bajo,Bajo
Zambia,Alto,Alto,Medio,Medio,Medio
Zimbabwe,Alto,Alto,Alto,Medio,Medio
